epochs,batch_size,hidden_dim,nodes,latent,activation,train_loss,val_loss
20,1000,2,500,50,SELU,7101.138:189.877:26.82:63.559:63.526:16.915:95.571:23.948:13.759:13.02:77.65:36.344:14.337:13.053:12.944:45.217:24.472:14.196:13.213:23.767,421.132:51.818:15.462:322.886:27.237:14.494:57.762:14.727:13.063:12.894:111.853:16.027:13.202:12.897:12.882:24.846:15.657:13.321:13.389:27.068
20,1000,2,500,100,ELU,1646.031:53.517:42.905:14.265:28.267:40.289:22.205:28.832:18.539:13.441:26.553:16.826:13.915:32.328:18.959:13.402:13.492:17.646:16.535:16.999,124.337:96.33:14.787:13.608:15.26:22.846:14.746:20.394:13.986:13.938:33.642:13.903:23.355:31.235:14.18:13.269:20.146:39.223:13.935:27.305
20,1000,2,500,100,ReLU,211.031:15.085:13.311:13.083:13.02:12.995:12.986:12.971:12.964:12.959:12.956:12.954:12.955:12.948:12.951:12.947:12.948:12.943:12.943:12.941,18.291:13.587:13.124:13.022:12.979:12.977:12.955:12.948:12.942:12.942:12.943:12.944:12.934:12.929:12.925:12.924:12.93:12.932:12.92:12.916
20,1000,2,500,100,SELU,10520.802:267.385:33.11:15.026:214.458:26.229:14.151:13.611:31.719:45.259:19.657:130.581:39.643:15.063:13.161:12.959:12.955:13.266:223.734:48.291,704.585:63.196:17.457:14.949:33.47:15.768:13.182:20.164:27.072:28.498:24.953:95.358:17.843:13.35:12.963:12.894:12.891:21.727:99.436:18.909
20,1000,3,50,2,ELU,41.391:14.196:13.037:12.928:12.911:12.905:12.903:12.901:12.9:12.9:12.899:12.899:12.899:12.899:12.899:12.899:12.898:12.898:12.899:12.898,16.268:13.141:12.924:12.887:12.881:12.877:12.876:12.875:12.873:12.873:12.873:12.872:12.873:12.873:12.873:12.872:12.872:12.873:12.873:12.872
20,1000,3,50,2,ReLU,24.524:13.993:13.054:12.963:12.945:12.941:12.936:12.935:12.934:12.933:12.932:12.933:12.932:12.932:12.932:12.932:12.932:12.932:12.932:12.932,15.516:13.115:12.892:12.863:12.853:12.85:12.846:12.846:12.845:12.844:12.844:12.844:12.843:12.844:12.844:12.844:12.843:12.843:12.843:12.844
20,1000,3,50,2,SELU,160.613:17.711:13.302:12.921:12.889:12.884:12.883:12.882:12.881:12.881:12.88:12.88:12.88:12.88:12.88:12.88:12.88:12.879:12.879:12.88,18.964:13.776:12.985:12.906:12.896:12.895:12.893:12.892:12.892:12.893:12.892:12.891:12.891:12.891:12.891:12.891:12.891:12.892:12.891:12.891
20,1000,3,50,5,ELU,254.03:19.418:13.582:13.013:12.921:12.894:12.884:12.878:12.875:12.873:12.872:12.872:12.871:12.871:12.87:12.87:12.87:12.87:12.87:12.87,28.02:14.286:13.191:12.976:12.933:12.917:12.909:12.906:12.905:12.901:12.901:12.901:12.9:12.9:12.9:12.901:12.9:12.9:12.899:12.9
20,1000,3,50,5,ReLU,84.34:15.074:13.2:13.009:12.96:12.939:12.928:12.923:12.918:12.915:12.914:12.912:12.91:12.909:12.909:12.909:12.909:12.91:12.908:12.908,17.908:13.458:13.023:12.938:12.911:12.895:12.888:12.881:12.879:12.876:12.875:12.873:12.871:12.874:12.872:12.872:12.872:12.871:12.873:12.872
20,1000,3,50,5,SELU,377.036:24.893:14.08:13.096:12.972:12.935:12.917:12.905:12.899:12.895:12.892:12.891:12.889:12.889:12.889:12.888:12.888:12.888:12.887:12.887,43.606:16.044:13.262:12.999:12.948:12.922:12.907:12.9:12.894:12.892:12.89:12.888:12.887:12.888:12.888:12.887:12.886:12.885:12.886:12.885
